"ID","DISTRICT ID","FULL DISTRICT NAME","COUNTY NAME","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","PHONE","TOTAL NUMBER OF STUDENTS","TEACHERS - TOTAL","TOTAL CURRENT EXPENDITURES - INSTRUCTION","NUMBER OF SCHOOLS","INSTRUCTIONAL EXPENDITURES PER STUDENT","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","ENGLISH LANGUAGE LEARNER STUDENTS","SOURCE","SORT","DATA SOURCE IMPORT DATE","DATA_SOURCE__C","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","NCES_DISTRICT_ID__C","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","TEMPORARY DISTRICT NAME","STATUS"
"001VA000003njshYAA","635810","Santa Rosa Elementary/High Schools (CA - Sonoma County)","Sonoma County","211 Ridgway Ave.","Santa Rosa","CA","95401","(707) 528-5352","5246","228","592000","14","112","K","8","39","243","3230","95","1409","17","213","Yes","District File","1","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","635810","211 Ridgway Ave.","Santa Rosa","CA","95401","Santa Rosa Elementary/High Schools (CA - Sonoma County)","Item Created"
"001VA000003njsiYAA","625150","Modesto City Elementary/High Schools (CA - Stanislaus County) - 625150","Stanislaus County","426 Locust St.","Modesto","CA","95351","(209) 574-1500","15488","656","592000","9","38","6","12","59","965","8800","499","3891","127","1147","Yes","District File","1","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","625150","426 Locust St.","Modesto","CA","95351","Modesto City Elementary/High Schools (CA - Stanislaus County)","Item Created"
"001VA000003njsjYAA","625130","Modesto City Elementary/High Schools (CA - Stanislaus County) - 625130","Stanislaus County","426 Locust St.","Modesto","CA","95351","(209) 574-1500","15121","620","592000","26","39","K","8","59","675","10423","363","2388","93","1120","Yes","District File","1","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","625130","426 Locust St.","Modesto","CA","95351","Modesto City Elementary/High Schools (CA - Stanislaus County)","Item Created"
"001VA000003njskYAA","635830","Santa Rosa Elementary/High Schools (CA - Sonoma County) - 635830","Sonoma County","211 Ridgway Ave.","Santa Rosa","CA","95401","(707) 528-5181","11186","459","592000","18","52","5","12","104","748","5417","243","3940","55","679","Yes","District File","1","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","635830","211 Ridgway Ave.","Santa Rosa","CA","95401","Santa Rosa Elementary/High Schools (CA - Sonoma County)","Item Created"
"001VA000003njslYAA","4839690","Seguin Independent School District","Guadalupe County","1221 E Kingsbury","Seguin","TX","78155","(830) 401-8600","7467","485","35560000","15","4762","PK","12","10","24","5290","345","1708","7","83","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4839690","1221 E Kingsbury","Seguin","TX","78155","Seguin Independent School District (TX - Guadalupe County)","Item Created"
"001VA000003njsmYAA","4821150","Goose Creek Consolidated Independent School District","Harris County","4544 Interstate 10 E","Baytown","TX","77521","(281) 420-4842","23795","1617","125827000","29","5287","PK","12","61","379","14706","3657","4523","25","444","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4821150","4544 Interstate 10 E","Baytown","TX","77521","Goose Creek Consolidated Independent School District (TX - Harris County)","Item Created"
"001VA000003njsnYAA","684500","Irvine Unified School District","Orange County","5050 Barranca Pkwy.","Irvine","CA","92604","(949) 936-5000","34617","1448","154360000","38","4459","K","12","66","17323","3856","683","9718","73","2898","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","684500","5050 Barranca Pkwy.","Irvine","CA","92604","Irvine Unified School District (CA - Orange County)","Item Created"
"001VA000003njsoYAA","636270","Selma Unified School District","Fresno County","3036 Thompson Ave.","Selma","CA","93662","(559) 898-6500","6451","280","36850000","12","5712","K","12","14","272","5824","17","303","8","13","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","636270","3036 Thompson Ave.","Selma","CA","93662","Selma Unified School District (CA - Fresno County)","Item Created"
"001VA000003njspYAA","627030","New Jerusalem Elementary School District","San Joaquin County","31400 S. Koster Rd.","Tracy","CA","95304","(209) 830-6363","4522","94","5497000","17","1215","K","12","40","417","1599","476","1489","33","468","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","627030","31400 S. Koster Rd.","Tracy","CA","95304","New Jerusalem Elementary School District (CA - San Joaquin County)","Item Created"
"001VA000003njsqYAA","4823910","Humble Independent School District","Harris County","20200 Eastway Village Dr","Humble","TX","77338","(281) 641-1000","42391","3200","180995000","51","4269","PK","12","158","1291","14997","8790","16058","218","879","Yes","District File","2","660822 (2)","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","4823910","20200 Eastway Village Dr","Humble","TX","77338","Humble Independent School District (TX - Harris County)","Item Created"
