"ID","INDEX","SCHOOL ID","NCES SCHOOL ID","SCHOOL NAME","DISTRICT NAME","FULL SCHOOL NAME","DISTRICT ID","PHONE","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","WHETHER A CHARTER SCHOOL","TOTAL STUDENTS, ALL GRADES (INCLUDES AE)","COUNTY NAME","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","CLASSROOM TEACHERS","TITLE I ELIGIBLE SCHOOL","SOURCE","SORT","DATA SOURCE IMPORT DATE","ACCOUNT NAME","DATA SOURCE","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","STREET","CITY","STATE","POSTALCODE","DATA SOURCE ID","TEMPORARY NAME","STATUS"
"001VA000004IaScYAK","3680","41","5.90009E+11","","Ahfachkee School","Ahfachkee Day School","5900092","(863)983-6348","31200 Josie Billie Hwy","Clewiston","FL","33440","K","12","No","100","Hendry County","-1","-1","-1","-1","-1","-1","-1","-1","FALSE","Public File","3","04.20.2023","Ahfachkee Day School - Ahfachkee School (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","31200 Josie Billie Hwy","Clewiston","FL","33440","41","Ahfachkee Day School","Item Created"
"001VA000004IaSdYAK","1226","746","1.20048E+11","","Duval County Public Schools","Normandy Village Elementary School","1200480","(904)693-7548","8257 Herlong Rd","Jacksonville","FL","32210","PK","5","No","397","Duval County","1","9","28","215","120","1","23","32","TRUE","Public File","3","04.20.2023","Normandy Village Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","8257 Herlong Rd","Jacksonville","FL","32210","746","Normandy Village Elementary School","Item Created"
"001VA000004IaSeYAK","1225","745","1.20048E+11","","Duval County Public Schools","Martin Luther King Jr Elementary School","1200480","(904)924-3027","8801 Lake Placid Dr E","Jacksonville","FL","32208","PK","5","No","489","Duval County","0","0","8","465","3","0","13","28","TRUE","Public File","3","04.20.2023","Martin Luther King Jr Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","8801 Lake Placid Dr E","Jacksonville","FL","32208","745","Martin Luther King Jr Elementary School","Item Created"
"001VA000004IaSfYAK","1224","744","1.20048E+11","","Duval County Public Schools","Joseph Stilwell Middle School","1200480","(904)693-7523","7840 Burma Rd","Jacksonville","FL","32221","6","8","No","808","Duval County","2","28","69","367","305","1","36","53","TRUE","Public File","3","04.20.2023","Joseph Stilwell Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7840 Burma Rd","Jacksonville","FL","32221","744","Joseph Stilwell Middle School","Item Created"
"001VA000004IaSgYAK","1223","743","1.20048E+11","","Duval County Public Schools","San Mateo Elementary School","1200480","(904)696-8750","600 Baisden Rd","Jacksonville","FL","32218","PK","5","No","643","Duval County","2","13","39","194","359","2","34","41","TRUE","Public File","3","04.20.2023","San Mateo Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","600 Baisden Rd","Jacksonville","FL","32218","743","San Mateo Elementary School","Item Created"
"001VA000004IaShYAK","1222","742","1.20048E+11","","Duval County Public Schools","Charger Academy","1200480","(904)573-1060","7050 Melvin Rd","Jacksonville","FL","32210","6","8","No","940","Duval County","3","20","100","577","193","3","44","48","TRUE","Public File","3","04.20.2023","Charger Academy - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7050 Melvin Rd","Jacksonville","FL","32210","742","Charger Academy","Item Created"
"001VA000004IaSiYAK","1233","753","1.20048E+11","","Duval County Public Schools","Jacksonville Heights Elementary School","1200480","(904)573-1120","7750 Tempest St S","Jacksonville","FL","32244","K","5","No","578","Duval County","2","6","83","330","118","0","39","40","TRUE","Public File","3","04.20.2023","Jacksonville Heights Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","7750 Tempest St S","Jacksonville","FL","32244","753","Jacksonville Heights Elementary School","Item Created"
"001VA000004IaSjYAK","1221","740","1.20048E+11","","Duval County Public Schools","Hyde Grove Elementary School","1200480","(904)693-7562","2056 Lane Ave S","Jacksonville","FL","32210","PK","2","No","533","Duval County","4","8","30","399","63","3","26","35","TRUE","Public File","3","04.20.2023","Hyde Grove Elementary School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2056 Lane Ave S","Jacksonville","FL","32210","740","Hyde Grove Elementary School","Item Created"
"001VA000004IaSkYAK","1219","738","1.20048E+11","","Duval County Public Schools","Jean Ribault Middle School","1200480","(904)924-3062","3610 Ribault Scenic Dr","Jacksonville","FL","32208","6","8","No","610","Duval County","0","0","7","567","22","0","14","36","TRUE","Public File","3","04.20.2023","Jean Ribault Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","3610 Ribault Scenic Dr","Jacksonville","FL","32208","738","Jean Ribault Middle School","Item Created"
"001VA000004IaSlYAK","1218","737","1.20048E+11","","Duval County Public Schools","Southside Middle School","1200480","(904)739-5238","2948 Knights Ln E","Jacksonville","FL","32216","6","8","No","737","Duval County","6","58","173","287","183","1","29","44","TRUE","Public File","3","04.20.2023","Southside Middle School - Duval County Public Schools (FL)","K12 - Prospects","012Du0000004KMzIAM","School","Unqualified","Public","2948 Knights Ln E","Jacksonville","FL","32216","737","Southside Middle School","Item Created"
