"ID","DISTRICT ID","FULL DISTRICT NAME","COUNTY NAME","LOCATION ADDRESS","LOCATION CITY","LOCATION STATE","LOCATION ZIP","PHONE","TOTAL NUMBER OF STUDENTS","TEACHERS - TOTAL","TOTAL CURRENT EXPENDITURES - INSTRUCTION","NUMBER OF SCHOOLS","INSTRUCTIONAL EXPENDITURES PER STUDENT","GRADES OFFERED - LOWEST","GRADES OFFERED - HIGHEST","ALL STUDENTS - AMERICAN INDIAN/ALASKA NATIVE","ALL STUDENTS - ASIAN","ALL STUDENTS - HISPANIC","ALL STUDENTS - BLACK","ALL STUDENTS - WHITE","ALL STUDENTS - HAWAIIAN NATIVE / PACIFIC ISLANDER","ALL STUDENTS - TWO OR MORE RACES","ENGLISH LANGUAGE LEARNER STUDENTS","SOURCE","SORT","DATA SOURCE IMPORT DATE","DISTRICT NAME","NCES SCHOOL ID","FULL SCHOOL NAME","SCHOOL NAME","CONVERTED","DATA_SOURCE__C","ACCOUNT RECORD TYPE","RECORD TYPE","ACCOUNT TYPE","PUBLIC OR PRIVATE","NCES_DISTRICT_ID__C","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","TEMPORARY DISTRICT NAME","STATUS"
"001VA000004BeXhYAK","1200750","Hardee County Schools","Hardee County","1009 N 6Th Ave","Wauchula","FL","33873","(863) 773-9058","5206","301","25885000","11","4972","PK","12","10","40","3275","293","1491","3","94","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200750","1009 N 6Th Ave","Wauchula","FL","33873","Hardee County Schools (FL - Hardee County)","Item Created"
"001VA000004BeXiYAK","5900092","Ahfachkee School","Hendry County","31200 Josie Billie Hwy","Clewiston","FL","33440","(863) 983-6348","396","37","27312000","1","68969","K","12","-1","-1","-1","-1","-1","-1","-1","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","5900092","31200 Josie Billie Hwy","Clewiston","FL","33440","Ahfachkee School (FL - Hendry County)","Item Created"
"001VA000004BeXjYAK","1200180","Broward County Public Schools","Broward County","600 Se 3Rd Ave Fl 10","Fort Lauderdale","FL","33301","(754) 321-0000","271956","13341","1430596000","368","5260","PK","12","742","9816","92089","105896","55726","440","7247","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200180","600 Se 3Rd Ave Fl 10","Fort Lauderdale","FL","33301","Broward County Public Schools (FL - Broward County)","Item Created"
"001VA000004BeXkYAK","1200990","Jefferson County Schools","Jefferson County","1490 West Washington Street","Monticello","FL","32344","(850) 342-0100","726","37","5460000","7","7520","PK","12","0","5","78","497","138","0","8","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200990","1490 West Washington Street","Monticello","FL","32344","Jefferson County Schools (FL - Jefferson County)","Item Created"
"001VA000004BeXlYAK","1200480","Duval County Public Schools","Duval County","1701 Prudential Dr","Jacksonville","FL","32207","(904) 390-2000","129583","7126","688093000","218","5310","PK","12","394","5818","15853","56548","44402","317","6251","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200480","1701 Prudential Dr","Jacksonville","FL","32207","Duval County Public Schools (FL - Duval County)","Item Created"
"001VA000004BeXmYAK","1201110","Leon County Schools","Leon County","2757 W Pensacola St","Tallahassee","FL","32304","(850) 487-7147","34268","1901","167476000","61","4887","PK","12","90","1327","2063","14934","14438","28","1388","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201110","2757 W Pensacola St","Tallahassee","FL","32304","Leon County Schools (FL - Leon County)","Item Created"
"001VA000004BeXnYAK","1200120","Bradford County School District","Bradford County","501 W WASHINGTON ST","STARKE","FL","32091","(904)966-6800","3214","164","16515000","12","5138","PK","12","9","22","80","716","2296","9","82","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200120","501 W WASHINGTON ST","STARKE","FL","32091","Bradford County School District (FL - Bradford County)","Item Created"
"001VA000004BeXoYAK","1201560","Pinellas County Schools","Pinellas County","301 4Th St Sw","Largo","FL","33770","(727) 588-6000","101824","6007","581230000","175","5708","PK","12","191","4374","17296","19214","55943","273","4533","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201560","301 4Th St Sw","Largo","FL","33770","Pinellas County Schools (FL - Pinellas County)","Item Created"
"001VA000004BeXpYAK","1200270","Citrus County School District","Citrus County","1007 W Main St","Inverness","FL","34450","(352) 726-1931","15542","929","76297000","26","4909","PK","12","46","254","1295","746","12498","23","680","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1200270","1007 W Main St","Inverness","FL","34450","Citrus County School District (FL - Citrus County)","Item Created"
"001VA000004BeXqYAK","1201980","Walton County School District","Walton County","145 S Park St Ste 2","Defuniak Springs","FL","32435","(850) 892-1100","9480","653","44152000","22","4657","PK","12","24","103","1163","532","7200","8","450","Yes","Superintendent File","1","04.20.2023","","","","","","K12 - Prospects","012Du0000004KMfIAM","District","Unqualified","Public","1201980","145 S Park St Ste 2","Defuniak Springs","FL","32435","Walton County School District (FL - Walton County)","Item Created"
